,date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,countlove,wiki,ipsos
1684,2020-06-02,Aurora,Colorado,NA,NA,NA,0,0,0,0,0,1,0
1685,2020-06-02,Austin,Texas,NA,NA,NA,0,0,0,0,1,0,1
1686,2020-06-02,Bakersfield,California,300,300,300,NA,NA,NA,NA,1,0,0
1687,2020-06-02,Baltimore,Maryland,NA,NA,NA,NA,NA,NA,NA,1,0,0
1688,2020-06-02,Batavia,NewYork,NA,NA,NA,NA,NA,NA,NA,1,0,0
1689,2020-06-02,BatonRouge,Louisiana,20,20,20,NA,NA,NA,NA,1,0,0
1690,2020-06-02,Beaufort,SouthCarolina,NA,NA,NA,NA,NA,NA,NA,1,0,0
1691,2020-06-02,Beaumont,Texas,50,50,50,NA,NA,NA,NA,1,0,0
1692,2020-06-02,Beavercreek,Ohio,NA,NA,NA,0,0,0,1,0,1,1
1693,2020-06-02,Bellingham,Washington,200,200,200,0,0,0,0,1,1,0
1694,2020-06-02,Bellmore,NewYork,NA,NA,NA,NA,NA,NA,NA,1,0,0
1695,2020-06-02,Bend,Oregon,1000,1000,1000,NA,NA,NA,NA,1,0,0
1696,2020-06-02,Benton,Arkansas,NA,NA,NA,NA,NA,NA,NA,1,0,0
1697,2020-06-02,Bethel,Alaska,100,100,100,0,0,0,0,1,1,0
1698,2020-06-02,Bethesda,Maryland,100,100,100,0,0,0,0,0,1,1
1699,2020-06-02,BigSpring,Texas,NA,NA,NA,NA,NA,NA,NA,1,0,0
1700,2020-06-02,Binghamton,NewYork,350,350,350,NA,NA,NA,NA,1,0,0
1701,2020-06-02,Bismarckk,NorthDakota,200,200,200,NA,NA,NA,NA,1,0,0
1702,2020-06-02,Bismarckkk,NorthDakota,NA,NA,NA,0,0,0,0,0,0,1
1703,2020-06-02,Bismark,NorthDakota,NA,NA,NA,0,0,0,0,0,0,1
1704,2020-06-02,Bloomington,Illinois,250,250,250,NA,NA,NA,NA,1,0,0
1705,2020-06-02,Bloomsburg,Pennsylvania,500,100,300,0,0,0,0,1,1,1
1706,2020-06-02,BocaRaton,Florida,NA,NA,NA,NA,NA,NA,NA,1,0,0
1707,2020-06-02,Boise,Idaho,NA,NA,NA,0,0,0,0,1,0,1
1708,2020-06-02,Boston,Massachusetts,2000,2000,2000,0,0,0,0,1,1,1
1709,2020-06-02,BowlingGreen,Kentucky,NA,NA,NA,NA,NA,NA,NA,1,0,0
1710,2020-06-02,Boyertown,Pennsylvania,100,100,100,NA,NA,NA,NA,1,0,0
1711,2020-06-02,BoyntonBeach,Florida,NA,NA,NA,NA,NA,NA,NA,1,0,0
1712,2020-06-02,Braselton,Georgia,100,100,100,NA,NA,NA,NA,1,0,0
1713,2020-06-02,Brattleboro,Vermont,200,200,200,NA,NA,NA,NA,1,0,0
1714,2020-06-02,Brea,California,300,100,200,0,0,0,0,1,1,0
1715,2020-06-02,Bridgehampton,NewYork,1000,1000,1000,0,0,0,0,0,1,0
1716,2020-06-02,Brockton,Massachusetts,800,800,800,1,0,1,1,1,1,1
1717,2020-06-02,Bronx,NewYork,NA,NA,NA,0,1,0,1,0,0,1
1718,2020-06-02,Brookfield,Wisconsin,165,165,165,NA,NA,NA,NA,1,0,0
