Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
UT,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,3045350,66,777,,,,418,5.4,3.25,7.93,0,233,6.2,2.62,10.28,0,220,2.9,1.09,5.35,0,348,2.8,1.12,4.86,0,589,7.8,4.85,11.3,0,937,5.3,3.61,7.31,0,161404,109937,222615,true,false
VA,"Sep 21 -  Oct 5, 2020",5,Statewide,Statewide,8413774,13,777,,,,284,7.2,4,10.86,0,262,1.7,0.33,3.6,0,340,0.6,0,1.66,1,334,3.8,1.37,6.88,0,565,6.3,2.23,13.56,0,899,5,2.34,9.26,0,420689,196882,779115,true,true
VT,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,624977,10,777,,,,222,0.6,0,1.98,1,140,0,0,2.6,2,142,1.3,0,4.4,1,159,0.4,0,1.47,1,355,0.6,0,1.7,1,514,0.5,0,1.19,1,3125,0,7437,false,true
WA,"Sep 22 -  Oct 8, 2020",5,Statewide,Statewide,7294336,140,2.7,0,6.08,1,307,2.4,0.82,4.42,0,241,2.9,0.92,5.7,0,336,0.7,0,1.82,1,433,2.2,0.71,4.06,0,591,2.4,1.01,4.07,0,1024,2.3,1.25,3.6,0,167770,91179,262596,true,true
WI,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,5778394,82,1.4,0,4.91,1,305,3.7,1.66,6.45,0,333,5.1,2.64,8.08,0,258,1.4,0,3.1,0,445,3.5,1.53,6.18,0,533,2.8,1.55,4.29,0,978,3.1,1.96,4.62,0,179130,113257,266962,true,true
WV,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,1829054,28,777,,,,321,1.5,0.25,3,0,326,1.1,0,2.52,0,284,3.2,0.94,6.26,0,438,2.7,0.44,6.43,1,521,3.7,0.9,8.7,0,959,3.2,1.11,6.18,0,58530,20302,113036,true,true
WY,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,581836,3,777,,,,37,777,,,,62,777,,,,16,777,,,,65,777,,,,53,777,,,,118,4.2,0.68,9.25,0,24437,3956,53820,false,false
AK,"Oct 6 - Oct 21, 2020",6,Statewide,Statewide,738516,13,777,,,,421,1.7,0.37,3.34,0,281,2.6,0.66,4.71,0,256,2.6,0.56,5.05,0,412,1.5,0.6,2.94,0,559,1.6,0.51,2.86,0,971,1.5,0.79,2.46,0,11078,5834,18167,false,false
AL,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,4864680,248,16,10.98,22.08,0,248,14.3,9.71,18.87,0,250,8.1,4.75,12.18,0,250,7.3,4.03,11.5,0,404,12.3,8.68,16.28,0,592,12.4,9.42,15.87,0,996,12.3,10,14.99,0,598356,486468,729216,true,false
AR,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,2990671,168,16.5,10.51,22.76,0,316,8.7,5.57,11.99,0,244,6.1,2.98,9.37,0,243,2.5,0.7,4.68,0,422,9.3,6.28,12.78,0,549,8.8,6.02,11.74,0,971,9,7.14,11.38,0,269160,213534,340338,true,false
